2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    | 🍇 Кластеризация: 16 новостей → 15 кластеров
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    |    Кластер #13: 2 новостей
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    |       • JPost: сын израильского министра Смотрича ранен в 
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    |       • Сын израильского министра получил ранение на грани
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    | 🔗 Объединено 2 новостей в одну: JPost: сын израильского министра Смотрича ранен в 
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    | ============================================================
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    | 📊 ТОП-3 кандидатов для публикации:
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    |    1. [ 23] Президенты РФ и Ирана условились продолжать контакты по разл (возраст: 0.8ч, HOT:2, ключ:3)
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    |    2. [ 22] Путин и Пезешкиан обсудили по телефону ситуацию вокруг Ирана (возраст: 1.1ч, HOT:1, ключ:5)
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    |    3. [ 21] В Киеве оспорили популярное убеждение о влиянии выборов в СШ (возраст: 0.1ч, HOT:2, ключ:2)
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    | ============================================================
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    | ▶️ [1/3] Обработка: Президенты РФ и Ирана условились продолжать контакты по различным кана
2026-03-06T20:54:02: 2026-03-06 20:54:02 | INFO    |    🔥 Приоритет: 0 (триггеры: нет)
2026-03-06T20:54:03: 2026-03-06 20:54:03 | INFO    |    🤖 LLM рерайт...
2026-03-06T20:54:11: 2026-03-06 20:54:11 | INFO    | HTTP Request: POST https://routerai.ru/api/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    |    ✅ Рерайт успешен: 711 символов
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    | 📝 NORMAL NEWS (priority=0): Отправка в предложку
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    | 📤 Попытка отправки 1/3
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    | ✅ Пост отправлен в предложку (ID: 2178a00db6a47371)
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    | ✅✅✅ ОПУБЛИКОВАНО В ПРЕДЛОЖКУ: Президенты РФ и Ирана условились продолжать контакты по разл
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    | ⏱️ Время обработки цикла: 74.24 сек
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    | ✅ Опубликовано: 1
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    | ⏱️ Задержка 13 мин (была публикация)
2026-03-06T20:54:13: 2026-03-06 20:54:13 | INFO    | 😴 ☀️ ДЕНЬ | Следующий цикл через 13 мин 19 сек
2026-03-06T20:57:52: 2026-03-06 20:57:52 | INFO    | 🛑 Получен сигнал остановки: 2
2026-03-06T20:58:05: 2026-03-06 20:58:05 | INFO    | 📊 Prometheus метрики запущены на порту http://localhost:8000/metrics (bot=politics)
2026-03-06T20:58:05: 2026-03-06 20:58:05 | INFO    | ✅ Prometheus метрики запущены на порту 8000 (bot=politics)
2026-03-06T20:58:05: 2026-03-06 20:58:05 | INFO    | ℹ️ Запуск politika.py
2026-03-06T20:58:05: 2026-03-06 20:58:05 | INFO    | ✅ Локальная БД инициализирована
2026-03-06T20:58:05: 2026-03-06 20:58:05 | INFO    | ✅ Глобальная БД дедупликации инициализирована
2026-03-06T20:58:06: 2026-03-06 20:58:06 | INFO    | 💾 Загружен кэш: 710 записей
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ✅ Планировщик дайджестов запущен (22:00 daily)
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | ============================================================
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    | 🚀 @I_Politika PRODUCTION 2026
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    Категория: POLITICS
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    Модель: openai/gpt-oss-20b
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    Лимит: 48 постов/день
2026-03-06T20:58:07: 2026-03-06 20:58:07 | INFO    |    🌐 Перевод: ВКЛ
