2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    🌍 Глобальная дедупликация: ✅ ВКЛ
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    ☀️ ДЕНЬ: 20-40 мин
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    |    🌙 НОЧЬ: 40-50 мин
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | ============================================================
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | ============================================================
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | 🔄 Цикл #1 | ☀️ ДЕНЬ | 2026-03-06 21:12:22
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | ============================================================
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | ⏰ Запуск планировщика дайджестов для cinema на 23:00
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | ⏰ Следующий дайджест через 1.8 ч
2026-03-06T21:12:23: 2026-03-06 21:12:22 | INFO    | 🔄 Загружаем 7 фидов...
2026-03-06T21:12:25: 2026-03-06 21:12:25 | INFO    | ✅ www.kinonews.ru: 30 записей
2026-03-06T21:12:54: 2026-03-06 21:12:54 | INFO    | ✅ editorial.rottentomatoes.com: 35 записей
2026-03-06T21:12:54: 2026-03-06 21:12:54 | WARNING | ⏱️ www.kg-portal.ru: таймаут
2026-03-06T21:12:54: 2026-03-06 21:12:54 | WARNING | ⏱️ www.mirf.ru: таймаут
2026-03-06T21:12:54: 2026-03-06 21:12:54 | WARNING | ⏱️ variety.com: таймаут
2026-03-06T21:12:54: 2026-03-06 21:12:54 | WARNING | ⏱️ www.intermedia.ru: таймаут
2026-03-06T21:12:54: 2026-03-06 21:12:54 | WARNING | ⏱️ feeds.feedburner.com: таймаут
2026-03-06T21:12:54: 2026-03-06 21:12:54 | INFO    | 📊 Успешно загружено: 2/7
2026-03-06T21:12:54: 2026-03-06 21:12:54 | INFO    | 📊 Отбрано 4 фидов из 4
2026-03-06T21:12:58: 2026-03-06 21:12:57 | INFO    | 🌟 Супер-горячая новость: звезда=100, процессы=4
2026-03-06T21:12:58: 2026-03-06 21:12:58 | INFO    | ✓ Скор: 1406 (SUPER:140, HOT:0, Ключ:4, Возраст:1.0ч): Best New Horror Movies of 2026
