2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Эрбиле сообщили о сбитом близ гостиницы беспилот
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [3] Обработка: В Пензенской области объявили беспилотную опасность
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Пензенской области объявили беспилотную опасност
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [4] Обработка: Огонь Паралимпийских игр 2026 года зажгли на церемонии откры
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: Огонь Паралимпийских игр 2026 года зажгли на церем
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [5] Обработка: Белый дом считает, что США уже завоевали превосходство в неб
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: Белый дом считает, что США уже завоевали превосход
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [6] Обработка: Report: сотрудников посольства Азербайджана в Тегеране эваку
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: Report: сотрудников посольства Азербайджана в Теге
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [7] Обработка: Катар частично возобновит авиасообщение в своем воздушном пр
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: Катар частично возобновит авиасообщение в своем во
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [8] Обработка: В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [9] Обработка: В Днепропетровске мужчина ударил ножом сотрудников ТЦК
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Днепропетровске мужчина ударил ножом сотрудников
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    [10] Обработка: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    |    ⏭️ Новость отклонена: В Липецкой области объявили воздушную опасность
2026-03-06T20:53:06: 2026-03-06 20:53:06 | INFO    | 📂 Категория: ECONOMY
2026-03-06T20:53:12: 2026-03-06 20:53:12 | INFO    | ⏭️ Пропущена старая новость (3.0ч > 3ч): В Финляндии заявили о готовности к реакции России 
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    | 📰 economy: найдено 29 новостей за последние 3ч
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [1] Обработка: В Калужской области отменили беспилотную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Калужской области отменили беспилотную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [2] Обработка: В Эрбиле сообщили о сбитом близ гостиницы беспилотнике
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Эрбиле сообщили о сбитом близ гостиницы беспилот
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [3] Обработка: В Пензенской области объявили беспилотную опасность
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: В Пензенской области объявили беспилотную опасност
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [4] Обработка: Огонь Паралимпийских игр 2026 года зажгли на церемонии откры
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: Огонь Паралимпийских игр 2026 года зажгли на церем
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [5] Обработка: Белый дом считает, что США уже завоевали превосходство в неб
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: Белый дом считает, что США уже завоевали превосход
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [6] Обработка: Report: сотрудников посольства Азербайджана в Тегеране эваку
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: Report: сотрудников посольства Азербайджана в Теге
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [7] Обработка: Катар частично возобновит авиасообщение в своем воздушном пр
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ ОТКЛОНЁН: приоритет 0 < порога 90
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    ⏭️ Новость отклонена: Катар частично возобновит авиасообщение в своем во
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    [8] Обработка: В Киеве снова объявили воздушную тревогу
2026-03-06T20:53:13: 2026-03-06 20:53:13 | INFO    |    🔥 Приоритет: 0 (порог: 90, триггеры: нет)
